num_nodes,num_edges,avg_degree,density,num_unknown_nodes,num_socket_syscalls,num_open_syscalls,num_read_syscalls,num_write_syscalls,num_dup_syscalls,num_accept4_syscalls,num_close_syscalls,num_openat_syscalls,num_connect_syscalls,num_recv_syscalls,max_degree_centrality,avg_degree_centrality,max_betweenness_centrality,avg_betweenness_centrality,max_closeness_centrality,avg_closeness_centrality,num_connected_components,largest_cc_num_nodes,largest_cc_num_edges,degree_assortativity,node_connectivity,edge_connectivity,degree_std,degree_skewness,degree_kurtosis,num_unlinkat_syscalls,num_execve_syscalls,num_dup3_syscalls,num_clone_syscalls,num_bind_syscalls,num_dup2_syscalls,num_vfork_syscalls,num_send_syscalls
651,2259,6.940092165898617,0.005338532435306629,651,14.0,560,883,70,22,1.0,602,82,16.0,2.0,2.1138461538461537,0.010677064870613161,0.001679506933744222,3.907155356034525e-06,0.015824175824175824,0.001962951709495487,19,485,1799,-0.04625594814409305,0,0,55.2050313775151,23.524082059495704,579.5267117320059,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
266,775,5.827067669172933,0.010994467300326287,266,6.0,212,242,42,16,1.0,230,19,6.0,1.0,0.7773584905660378,0.021988934600652682,0.0,0.0,0.026415094339622643,0.003674280039721946,17,105,328,-0.34542616507530716,0,0,18.11928365784962,8.400944079798746,81.18681549600257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,791,5.969811320754717,0.011306460834762722,265,6.0,215,248,44,16,1.0,233,19,8.0,1.0,0.7803030303030303,0.022612921669525603,0.0,0.0,0.026515151515151516,0.0037449971412235536,14,106,339,-0.3691342883865433,0,0,18.440496707852656,8.3022927734996,79.28981874019065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,2095,6.857610474631751,0.005620992192321108,611,8.0,552,795,36,22,0.0,585,81,8.0,1.0,2.2524590163934426,0.011241984384642155,0.001907184581011602,4.692035289920861e-06,0.010040983606557377,0.0021284527780865274,11,462,1659,0.05393118340396456,0,0,56.830678710845426,22.975110101006496,550.0321767505874,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
249,657,5.27710843373494,0.010639331519626895,249,2.0,212,174,10,16,0.0,226,12,0.0,0.0,0.8306451612903225,0.021278663039253787,1.6324931435287973e-05,6.556197363569468e-08,0.012096774193548387,0.003940493155417365,14,92,211,0.11673971087281886,0,0,18.42382335838174,8.860207321860129,84.41953633513215,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
255,799,6.266666666666667,0.012335958005249344,255,4.0,212,272,45,16,1.0,227,18,4.0,0.0,0.8110236220472441,0.02467191601049867,1.5561295944726277e-05,6.102468997931873e-08,0.01968503937007874,0.0038649580567134928,13,97,275,-0.2610193271337156,0,0,19.596705071853346,7.378905792993246,62.74644446326506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,816,5.978021978021978,0.01098901098901099,273,6.0,217,247,44,32,1.0,243,19,6.0,1.0,0.7573529411764706,0.02197802197802203,0.0,0.0,0.025735294117647058,0.003743805214393439,13,105,338,-0.35853696622843306,0,0,18.34427260698473,8.146313438892763,77.01532401946423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,777,5.671532846715328,0.010387422796181921,274,6.0,216,236,41,16,1.0,234,19,7.0,1.0,0.7472527472527473,0.02077484559236381,0.0,0.0,0.02564102564102564,0.0035961605304670892,16,108,320,-0.28970124087731725,0,0,17.594420768412025,8.596241958842727,84.70935110412697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,789,5.536842105263158,0.009747961452928096,285,6.0,221,228,28,32,1.0,247,19,6.0,1.0,0.7253521126760564,0.019495922905856288,0.0,0.0,0.02464788732394366,0.003521126760563376,18,106,298,-0.31035591186039946,0,0,17.524605574848657,8.743245259341085,87.43979839822856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,683,5.213740458015267,0.009988008540259132,262,6.0,209,185,19,16,1.0,228,12,4.0,0.0,0.789272030651341,0.0199760170805183,2.9472443265546713e-05,1.1249024147155234e-07,0.019157088122605363,0.003753424390434141,15,100,228,0.023701818268759067,0,0,17.5608028271101,9.269339940653957,93.55755056897821,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
266,740,5.56390977443609,0.010497942970634132,266,6.0,211,223,26,16,1.0,229,19,8.0,1.0,0.7773584905660378,0.020995885941268354,0.0,0.0,0.026415094339622643,0.0036884664491417217,17,106,297,-0.3267775029886494,0,0,17.73461564941459,8.752726503167008,87.00660418645558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,2140,6.6875,0.005232785602503912,640,12.0,557,808,44,22,1.0,596,81,11.0,1.0,2.1502347417840375,0.01046557120500782,0.0017378741273835982,4.093263867426083e-06,0.011128499391410189,0.001995994097299849,18,467,1667,0.05435614905382354,0,0,55.53959032753123,23.50549107707192,575.8775198645916,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
631,2133,6.760697305863708,0.005365632782431515,631,12.0,551,807,49,22,1.0,590,81,12.0,1.0,2.1809523809523808,0.010731265564863009,0.0017879223761576703,4.267208518164051e-06,0.012857142857142857,0.0020424554161630544,14,477,1694,0.04830415429790488,0,0,55.92003665657099,23.352362900112677,568.2491896350475,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
253,744,5.881422924901186,0.011669489930359496,253,6.0,209,228,29,16,1.0,227,19,8.0,1.0,0.8095238095238095,0.023338979860718957,0.0,0.0,0.027777777777777776,0.003968253968253956,11,105,307,-0.32985863954597744,0,0,18.2363103334001,8.362966953517407,79.59361641030986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,2087,6.922056384742952,0.0057492162663978,603,8.0,549,796,34,22,0.0,582,81,8.0,1.0,2.2823920265780733,0.011498432532795689,0.0019582534093233314,4.881590356683643e-06,0.010174418604651164,0.0021715774254988636,8,461,1653,0.05190151229380942,0,0,57.1868332015801,22.84252933629291,543.4840484233346,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
638,2151,6.74294670846395,0.0052927368198304155,638,12.0,558,811,49,22,1.0,597,81,12.0,1.0,2.1569858712715857,0.010585473639660765,0.001748812732640226,4.128071327625189e-06,0.012715855572998432,0.0020150718778445395,14,476,1690,0.051500620686732314,0,0,55.61434947186722,23.4795635454795,574.488613219572,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
672,2333,6.943452380952381,0.005173958555106096,672,14.0,578,895,71,38,1.0,628,83,16.0,2.0,2.0476900149031296,0.010347917110212304,0.0015759503525591121,3.5549842865722485e-06,0.015328933361720247,0.0019182375922715625,14,491,1811,-0.02865877081736112,0,0,54.569443677933535,23.635134337017085,588.147490951201,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
